Date,PageName,TrafficSource,TrafficType,Users,Sessions,BounceRate,SessionDurationSeconds,PagesPerSession,EngagementRate,ConversionRate,GoalCompletions,EventCount,PagePerformance
2025-01-01,Home,Direct,Direct,5,6,0.4455,81.58,1.67,0.54,0.0181,0,33,Low Performing
2025-01-01,Blog,Direct,Direct,8,8,0.4519,106.2,1.0,0.6015,0.0301,0,41,Average Performing
2025-01-01,Landing Page,Organic Search,Organic,1,2,0.5472,411.25,1.1,0.4831,0.0411,0,10,Average Performing
2025-01-01,Products,Direct,Direct,6,6,0.4766,88.05,5.62,0.4998,0.0822,0,84,Low Performing
2025-01-01,Blog,Organic Search,Organic,9,9,0.4821,289.01,3.07,0.4652,0.0508,0,65,Average Performing
2025-01-01,Blog,Organic Search,Organic,4,6,0.4203,201.54,4.96,0.5858,0.0648,0,72,Average Performing
2025-01-01,Landing Page,Referral,Referral,8,8,0.4284,121.71,2.13,0.6024,0.0727,0,49,Average Performing
2025-01-01,Home,Organic Search,Organic,2,3,0.4636,146.18,3.79,0.4502,0.0352,0,34,Low Performing
2025-01-01,Products,Organic Search,Organic,2,4,0.4553,156.53,2.24,0.5383,0.0533,1,29,Low Performing
2025-01-02,Checkout,Referral,Referral,2,6,0.4569,225.09,3.07,0.4922,0.0549,0,72,Average Performing
2025-01-02,Landing Page,Direct,Direct,5,7,0.4725,356.35,1.58,0.4955,0.0644,1,30,Average Performing
2025-01-02,Products,Direct,Direct,7,7,0.4898,351.3,1.06,0.4853,0.0453,0,37,Low Performing
2025-01-03,Products,Referral,Referral,3,4,0.4955,256.07,4.09,0.5821,0.0887,0,23,Low Performing
2025-01-03,Pricing,Referral,Referral,2,3,0.385,335.94,3.28,0.5884,0.0701,2,29,High Performing
2025-01-04,Blog,Paid Search,Paid,4,4,0.5454,199.34,1.47,0.4918,0.0184,0,31,Average Performing
2025-01-04,Contact,Organic Search,Organic,3,3,0.5186,153.02,6.81,0.4981,0.1265,1,46,High Performing
2025-01-04,Home,Organic Search,Organic,7,7,0.4363,90.01,5.0,0.5314,0.0712,0,96,Low Performing
2025-01-04,Contact,Paid Search,Paid,10,13,0.49,378.87,2.51,0.514,0.042,0,64,High Performing
2025-01-04,Blog,Direct,Direct,3,6,0.4161,472.25,3.19,0.5612,0.0932,0,22,Average Performing
2025-01-05,Products,Direct,Direct,1,3,0.4558,244.64,4.33,0.5661,0.086,0,27,Low Performing
2025-01-05,Home,Paid Search,Paid,4,5,0.5587,26.97,1.0,0.4534,0.0305,0,1,Low Performing
2025-01-05,Products,Direct,Direct,2,2,0.3318,362.39,3.94,0.6428,0.0615,0,13,Low Performing
2025-01-05,Services,Organic Search,Organic,9,10,0.5187,95.24,2.27,0.4759,0.0051,0,81,Average Performing
2025-01-06,Landing Page,Referral,Referral,8,8,0.4418,338.66,4.92,0.5607,0.0853,1,101,Average Performing
2025-01-06,Blog,Social,Social,1,2,0.4479,237.58,4.46,0.5374,0.0966,0,14,Average Performing
2025-01-06,Products,Paid Search,Paid,1,1,0.5192,288.05,1.0,0.5329,0.0329,0,3,Low Performing
